host_id,host_superhost,host_response_rate,host_cancellation_rate_12m,host_avg_response_time_minutes,host_past_guest_complaints_12m,host_avg_rating
H00577,0,0.785,0.022,104.3,3,4.69
H00578,0,0.828,0.009,427.7,3,4.5
H00579,0,0.816,0.056,74.1,3,4.81
H00580,0,0.665,0.05,143.0,2,5.0
H00581,0,0.868,0.141,133.4,3,4.97
H00582,0,0.909,0.024,79.8,1,4.66
H00583,1,0.93,0.128,4.9,2,5.0
H00584,0,0.77,0.026,116.3,2,4.73
H00585,1,0.803,0.021,46.6,0,4.07
H00586,0,0.814,0.041,93.4,0,4.98
H00587,0,0.832,0.024,194.1,0,4.7
H00588,0,0.722,0.077,100.2,2,4.77
H00589,0,0.696,0.095,58.0,3,4.55
H00590,1,0.92,0.094,14.1,1,4.99
H00591,1,0.89,0.094,159.7,2,4.47
H00592,0,0.841,0.065,129.4,0,4.96
H00593,0,0.881,0.053,102.7,4,4.4
H00594,0,0.802,0.02,65.1,3,4.72
H00595,0,0.829,0.075,200.6,1,5.0
H00596,1,0.635,0.055,226.7,2,5.0
H00597,0,0.87,0.144,150.2,2,4.86
H00598,0,0.817,0.069,227.8,2,4.93
H00599,0,0.904,0.01,112.5,1,4.88
H00600,0,0.718,0.105,85.0,2,4.55
H00601,1,0.86,0.063,132.8,1,4.78
H00602,0,0.775,0.01,94.0,4,4.72
H00603,0,0.835,0.051,92.8,2,4.92
H00604,1,0.842,0.081,91.4,2,4.94
H00605,0,0.821,0.05,261.1,1,4.66
H00606,0,0.701,0.181,93.4,1,4.63
H00607,0,0.881,0.076,95.3,5,4.91
H00608,1,0.678,0.092,71.7,4,4.6
H00609,1,0.69,0.026,144.1,1,4.94
H00610,1,0.883,0.032,365.7,3,4.69
H00611,1,0.693,0.12,111.6,4,4.51
H00612,0,0.891,0.098,62.0,1,4.55
H00613,0,0.889,0.03,246.5,4,3.94
H00614,1,0.722,0.035,68.4,2,4.63
H00615,0,0.94,0.059,343.5,1,4.81
H00616,0,0.654,0.057,88.7,2,5.0
H00617,1,0.812,0.181,129.4,3,4.5
H00618,0,0.82,0.035,168.8,0,4.56
H00619,0,0.762,0.076,67.6,4,4.48
H00620,1,0.861,0.03,33.5,2,4.46
H00621,1,0.784,0.064,79.1,4,4.8
H00622,0,0.652,0.055,94.1,2,4.55
H00623,0,0.56,0.044,26.5,4,4.47
H00624,0,0.876,0.021,80.5,0,4.75
H00625,0,0.728,0.032,195.7,4,4.79
H00626,0,0.759,0.035,132.3,2,4.48
H00627,1,0.807,0.059,50.6,1,4.92
H00628,0,0.662,0.054,202.2,3,5.0
H00629,1,0.762,0.017,28.8,1,4.83
H00630,1,0.791,0.036,86.8,0,4.79
H00631,1,0.78,0.041,52.3,4,4.08
H00632,0,0.758,0.013,109.4,2,4.44
H00633,0,0.873,0.067,246.8,0,4.3
H00634,1,0.754,0.045,314.4,5,4.88
H00635,1,0.865,0.078,111.3,2,4.89
H00636,0,0.833,0.044,257.7,1,4.76
H00637,1,0.741,0.19,110.3,1,4.59
H00638,0,0.626,0.036,151.1,1,4.58
H00639,1,0.926,0.12,182.2,2,5.0
H00640,0,0.841,0.137,164.5,2,4.85
H00641,1,0.921,0.132,116.9,4,4.63
H00642,1,0.919,0.071,24.5,6,4.77
H00643,1,0.757,0.039,242.4,2,4.33
H00644,1,0.856,0.092,115.0,2,4.79
H00645,0,0.624,0.079,240.9,2,4.59
H00646,0,0.676,0.012,124.2,4,4.78
H00647,0,0.522,0.092,53.3,1,4.41
H00648,0,0.869,0.057,16.7,3,5.0
H00649,0,0.741,0.094,128.4,2,4.43
H00650,0,0.854,0.045,32.3,2,4.56
H00651,1,0.856,0.047,283.5,3,4.37
H00652,1,0.64,0.036,77.6,3,4.47
H00653,0,0.395,0.043,60.8,1,4.62
H00654,1,0.912,0.011,266.3,1,4.66
H00655,0,0.897,0.103,93.2,1,4.59
H00656,0,0.708,0.011,34.0,4,4.78
H00657,1,0.843,0.022,197.0,1,5.0
H00658,0,0.818,0.066,48.9,1,4.6
H00659,0,0.658,0.015,176.2,1,4.52
H00660,0,0.656,0.04,94.7,2,4.99
H00661,0,0.841,0.022,52.2,1,4.41
H00662,0,0.734,0.143,93.3,2,5.0
H00663,0,0.74,0.04,138.6,3,4.19
H00664,0,0.829,0.034,112.4,3,4.9
H00665,1,0.901,0.136,115.8,2,4.41
H00666,0,0.652,0.053,58.7,2,4.41
H00667,0,0.844,0.064,32.5,2,4.75
H00668,0,0.875,0.042,79.6,1,4.88
H00669,0,0.817,0.028,8.7,7,4.82
H00670,0,0.882,0.075,146.9,3,4.48
H00671,0,0.802,0.027,110.5,2,4.87
H00672,1,0.736,0.058,106.1,3,4.44
H00673,0,0.858,0.148,105.4,1,4.59
H00674,0,0.869,0.085,17.8,1,4.51
H00675,1,0.907,0.053,84.4,1,4.61
H00676,0,0.478,0.035,93.3,1,4.51
H00677,1,0.85,0.085,137.8,1,4.69
H00678,0,0.755,0.068,7.5,0,4.31
H00679,1,0.788,0.107,29.2,1,4.8
H00680,1,0.663,0.099,411.2,5,4.52
H00681,0,0.906,0.118,167.6,1,4.39
H00682,0,0.829,0.126,69.3,0,4.91
H00683,0,0.762,0.081,123.1,1,5.0
H00684,1,0.582,0.025,163.9,5,4.79
H00685,0,0.888,0.032,44.8,1,4.71
H00686,1,0.851,0.028,198.8,1,4.55
H00687,1,0.737,0.065,288.7,1,4.32
H00688,0,0.876,0.046,17.9,3,4.79
H00689,1,0.832,0.021,174.5,0,4.26
H00690,0,0.67,0.084,176.1,1,4.77
H00691,0,0.886,0.073,167.2,5,4.22
H00692,0,0.913,0.054,241.0,5,4.7
H00693,0,0.799,0.055,68.7,2,4.97
H00694,0,0.93,0.112,17.8,0,4.74
H00695,0,0.817,0.088,32.1,4,4.93
H00696,1,0.811,0.021,73.4,3,5.0
H00697,1,0.802,0.113,48.6,2,4.66
H00698,1,0.846,0.039,34.1,2,5.0
H00699,1,0.884,0.041,175.1,2,4.58
H00700,1,0.861,0.048,81.7,2,4.4
H00701,0,0.92,0.142,232.6,2,4.4
H00702,0,0.886,0.108,77.8,1,4.89
H00703,0,0.714,0.053,101.9,1,4.59
H00704,0,0.67,0.008,171.6,2,4.54
H00705,1,0.949,0.09,199.4,3,4.84
H00706,1,0.863,0.076,111.9,2,4.26
H00707,1,0.832,0.021,74.6,4,5.0
H00708,0,0.786,0.145,36.4,2,4.36
H00709,0,0.947,0.044,41.4,1,4.8
H00710,1,0.731,0.056,179.0,3,4.79
H00711,0,0.755,0.025,387.5,3,4.61
H00712,0,0.937,0.105,46.0,2,4.93
H00713,1,0.726,0.076,26.0,1,4.86
H00714,0,0.742,0.039,49.3,4,4.62
H00715,1,0.877,0.014,5.8,1,4.81
H00716,1,0.731,0.093,75.7,1,4.1
H00717,0,0.858,0.108,31.5,1,4.55
H00718,0,0.822,0.013,207.7,4,4.79
H00719,1,0.635,0.017,39.1,2,4.48
H00720,1,0.883,0.07,83.2,3,4.63
H00721,0,0.952,0.016,151.0,0,4.6
H00722,0,0.846,0.075,70.3,5,4.22
H00723,0,0.608,0.038,123.0,4,4.88
H00724,1,0.719,0.03,67.5,2,4.68
H00725,0,0.621,0.122,147.7,1,4.36
H00726,0,0.778,0.123,156.4,6,5.0
H00727,0,0.87,0.059,27.5,2,4.7
H00728,0,0.85,0.005,142.6,0,4.71
H00729,1,0.694,0.091,41.4,1,4.63
H00730,1,0.73,0.105,90.3,1,5.0
H00731,0,0.79,0.038,13.3,1,4.88
H00732,0,0.86,0.015,94.2,3,4.47
H00733,0,0.919,0.11,72.1,1,4.13
H00734,0,0.946,0.11,81.3,1,4.82
H00735,1,0.853,0.062,33.7,1,4.62
H00736,0,0.945,0.022,151.3,2,4.56
H00737,0,0.829,0.062,195.1,1,4.61
H00738,0,0.826,0.021,115.0,5,4.2
H00739,0,0.956,0.061,113.3,2,4.68
H00740,0,0.927,0.025,65.4,3,4.59
H00741,1,0.766,0.06,70.5,1,4.54
H00742,0,0.725,0.016,185.8,0,4.67
H00743,0,0.656,0.069,242.1,2,5.0
H00744,1,0.887,0.061,131.5,1,4.57
H00745,1,0.786,0.004,58.0,3,4.96
H00746,0,0.766,0.153,64.4,1,4.69
H00747,0,0.883,0.039,18.6,4,4.98
H00748,0,0.865,0.057,104.5,2,4.63
H00749,0,0.74,0.071,85.3,1,4.43
H00750,1,0.892,0.082,59.5,3,5.0
H00751,0,0.671,0.092,21.0,2,4.9
H00752,0,0.948,0.041,179.3,2,5.0
H00753,1,0.721,0.038,119.6,3,4.8
H00754,1,0.881,0.095,33.4,0,4.67
H00755,0,0.749,0.073,189.8,1,4.9
H00756,0,0.698,0.024,123.1,0,4.8
H00757,0,0.712,0.064,68.5,0,4.52
H00758,1,0.552,0.092,37.7,2,4.77
H00759,0,0.804,0.025,72.0,2,4.56
H00760,0,0.878,0.069,77.6,2,4.33
H00761,0,0.681,0.043,142.9,0,4.63
H00762,0,0.777,0.06,222.2,0,4.5
H00763,0,0.688,0.009,40.5,2,5.0
H00764,1,0.719,0.027,149.6,2,4.39
H00765,1,0.803,0.063,103.3,1,4.54
H00766,1,0.816,0.126,284.6,1,4.51
H00767,0,0.52,0.149,245.7,3,4.85
H00768,0,0.833,0.069,50.2,5,4.71
H00769,0,0.711,0.074,127.5,2,5.0
H00770,0,0.718,0.109,67.6,2,5.0
H00771,0,0.809,0.043,42.9,3,4.68
H00772,1,0.807,0.147,39.5,3,4.38
H00773,1,0.621,0.032,81.9,2,4.74
H00774,1,0.854,0.069,60.5,2,4.71
H00775,0,0.595,0.024,339.8,1,4.28
H00776,0,0.723,0.112,139.3,1,4.6
H00777,1,0.822,0.066,157.2,2,4.7
H00778,1,0.79,0.068,119.3,3,4.66
H00779,0,0.582,0.034,260.5,2,4.41
H00780,0,0.781,0.084,62.9,3,4.65
H00781,0,0.556,0.071,124.6,1,4.62
H00782,1,0.841,0.047,113.8,0,4.77
H00783,0,0.875,0.116,195.1,2,4.42
H00784,0,0.839,0.054,165.4,2,4.94
H00785,0,0.701,0.061,206.3,2,4.77
H00786,1,0.881,0.06,91.2,3,4.32
H00787,0,0.879,0.084,59.3,0,4.72
H00788,0,0.844,0.063,153.1,1,4.66
H00789,1,0.928,0.035,70.8,1,4.63
H00790,0,0.729,0.048,24.6,2,4.28
H00791,0,0.834,0.072,127.2,5,4.57
H00792,1,0.845,0.048,68.3,2,4.49
H00793,1,0.749,0.045,120.8,2,4.54
H00794,0,0.872,0.058,42.0,0,4.88
H00795,1,0.756,0.044,47.6,0,4.48
H00796,0,0.848,0.09,175.3,1,5.0
H00797,1,0.744,0.027,118.2,0,5.0
H00798,1,0.838,0.024,352.2,1,4.74
H00799,0,0.885,0.089,174.9,3,4.33
H00800,1,0.897,0.088,97.2,4,4.33
H00801,1,0.796,0.044,130.0,2,4.77
H00802,1,0.685,0.023,104.8,2,4.59
H00803,0,0.922,0.057,204.2,1,4.47
H00804,0,0.842,0.123,99.8,2,4.65
H00805,0,0.855,0.153,145.7,2,4.33
H00806,0,0.68,0.066,39.6,2,5.0
H00807,0,0.837,0.046,16.3,2,4.79
H00808,0,0.824,0.13,23.4,0,5.0
H00809,1,0.891,0.033,169.1,3,4.89
H00810,0,0.666,0.094,138.8,3,4.84
H00811,0,0.651,0.103,43.8,1,4.43
H00812,0,0.847,0.026,63.1,5,3.99
H00813,0,0.951,0.038,42.9,1,4.91
H00814,1,0.63,0.014,100.5,2,4.65
H00815,0,0.705,0.051,214.5,2,5.0
H00816,0,0.951,0.074,154.2,2,4.54
H00817,1,0.913,0.034,403.1,3,4.66
H00818,0,0.609,0.044,79.7,2,4.57
H00819,0,0.721,0.069,174.9,1,4.98
H00820,0,0.783,0.141,179.4,1,4.05
H00821,0,0.837,0.037,134.1,1,4.75
H00822,1,0.755,0.041,21.7,1,4.49
H00823,0,0.824,0.112,100.8,2,4.67
H00824,0,0.934,0.086,248.8,2,5.0
H00825,0,0.892,0.06,99.8,1,4.38
H00826,0,0.737,0.075,24.1,4,4.38
H00827,0,0.813,0.023,113.5,2,5.0
H00828,0,0.727,0.165,139.3,0,4.56
H00829,0,0.768,0.009,87.2,2,4.52
H00830,1,0.886,0.023,51.6,4,4.52
H00831,1,0.769,0.215,202.5,1,4.24
H00832,0,0.906,0.014,67.8,1,5.0
H00833,1,0.819,0.052,103.8,1,5.0
H00834,1,0.772,0.069,89.2,4,4.22
H00835,1,0.833,0.024,399.8,3,4.56
H00836,0,0.894,0.07,52.3,3,4.26
H00837,1,0.822,0.071,238.8,0,4.85
H00838,1,0.751,0.083,249.2,4,4.8
H00839,1,0.639,0.058,127.6,3,4.4
H00840,1,0.767,0.092,164.8,1,4.54
H00841,0,0.84,0.097,326.4,1,4.99
H00842,0,0.86,0.036,263.7,1,4.62
H00843,1,0.856,0.066,431.6,2,4.49
H00844,0,0.818,0.062,174.0,1,4.89
H00845,0,0.906,0.125,94.4,3,4.67
H00846,0,0.818,0.075,142.8,7,4.97
H00847,0,0.85,0.047,109.5,1,4.89
H00848,0,0.78,0.091,54.5,2,4.81
H00849,1,0.766,0.039,168.8,3,4.43
H00850,1,0.908,0.034,142.0,2,4.98
H00851,0,0.858,0.032,96.4,0,4.65
H00852,0,0.919,0.026,149.4,3,4.67
H00853,0,0.784,0.031,8.7,4,4.27
H00854,0,0.834,0.12,94.9,2,4.48
H00855,1,0.774,0.057,171.2,2,4.42
H00856,0,0.888,0.038,192.4,1,4.78
H00857,0,0.7,0.047,237.1,4,4.88
H00858,0,0.929,0.041,49.0,2,4.58
H00859,1,0.665,0.038,73.9,1,4.69
H00860,0,0.896,0.039,162.4,2,4.63
H00861,0,0.798,0.057,57.3,1,5.0
H00862,1,0.941,0.081,88.0,3,4.07
H00863,0,0.805,0.056,44.3,4,4.38
H00864,0,0.564,0.087,60.9,1,4.58
H00865,1,0.904,0.041,80.3,3,4.73
H00866,1,0.782,0.025,152.8,2,4.53
H00867,1,0.921,0.025,174.1,3,4.24
H00868,1,0.9,0.016,158.8,4,4.82
H00869,0,0.785,0.065,38.1,1,5.0
H00870,1,0.891,0.058,35.4,4,4.26
H00871,0,0.87,0.03,170.5,2,4.75
H00872,0,0.975,0.081,55.3,2,4.93
H00873,0,0.788,0.083,136.4,3,4.76
H00874,1,0.657,0.019,130.3,1,4.92
H00875,0,0.75,0.172,54.0,0,4.56
H00876,0,0.906,0.049,210.8,1,4.43
H00877,0,0.899,0.065,269.8,4,4.98
H00878,0,0.818,0.066,13.2,0,4.74
H00879,0,0.9,0.006,335.9,1,4.7
H00880,0,0.851,0.076,327.0,1,4.71
H00881,0,0.756,0.026,142.5,2,4.29
H00882,1,0.917,0.033,4.6,0,4.49
H00883,0,0.695,0.037,27.4,2,4.7
H00884,1,0.625,0.113,79.4,0,5.0
H00885,0,0.79,0.048,52.3,1,4.38
H00886,0,0.797,0.062,72.4,4,4.47
H00887,1,0.948,0.005,247.7,1,4.8
H00888,1,0.89,0.116,86.4,3,4.05
H00889,0,0.92,0.172,147.0,4,4.6
H00890,1,0.705,0.086,107.9,3,4.34
H00891,0,0.718,0.006,61.4,3,5.0
H00892,0,0.721,0.11,348.4,1,4.85
H00893,0,0.732,0.002,33.5,2,4.42
H00894,0,0.703,0.008,105.6,2,4.67
H00895,0,0.824,0.036,71.5,0,4.41
H00896,0,0.72,0.102,44.2,4,4.39
H00897,0,0.921,0.142,371.9,5,4.33
H00898,1,0.707,0.043,61.0,1,4.47
H00899,0,0.754,0.086,94.5,1,4.75
H00900,0,0.963,0.025,110.9,3,4.95
H00901,1,0.855,0.164,226.0,1,4.38
H00902,0,0.883,0.027,177.7,3,4.42
H00903,0,0.76,0.046,34.8,4,5.0
H00904,1,0.862,0.074,56.2,3,4.68
H00905,0,0.812,0.069,150.9,3,4.57
H00906,0,0.887,0.087,108.6,1,4.44
H00907,0,0.597,0.156,65.4,0,4.49
H00908,1,0.748,0.061,174.1,1,4.66
H00909,1,0.867,0.078,47.7,1,4.94
H00910,0,0.802,0.041,46.1,2,4.37
H00911,0,0.97,0.036,25.8,2,4.59
H00912,0,0.825,0.043,132.5,0,5.0
H00913,0,0.858,0.034,108.1,3,4.27
H00914,0,0.807,0.215,184.8,1,4.97
H00915,1,0.558,0.014,45.0,2,5.0
H00916,1,0.835,0.048,2.5,2,4.66
H00917,1,0.944,0.018,115.5,3,4.98
H00918,1,0.843,0.046,46.4,3,4.17
H00919,0,0.934,0.032,93.5,3,4.58
H00920,1,0.896,0.054,116.4,1,4.92
H00921,1,0.957,0.093,63.3,1,4.29
H00922,0,0.905,0.046,140.4,3,4.98
H00923,0,0.829,0.111,31.5,3,5.0
H00924,0,0.912,0.053,118.8,1,4.47
H00925,1,0.936,0.017,140.8,3,4.84
H00926,1,0.624,0.027,102.3,1,4.89
H00927,0,0.669,0.044,103.1,2,5.0
H00928,1,0.723,0.145,93.5,3,4.36
H00929,0,0.931,0.091,74.1,1,4.49
H00930,1,0.811,0.05,170.3,3,4.81
H00931,0,0.708,0.038,13.3,0,4.67
H00932,0,0.699,0.014,270.4,3,5.0
H00933,1,0.716,0.057,94.1,1,4.57
H00934,0,0.729,0.104,158.3,0,4.54
H00935,1,0.729,0.017,112.5,4,4.74
H00936,0,0.792,0.031,10.5,1,4.74
H00937,1,0.802,0.053,209.5,3,4.62
H00938,0,0.88,0.067,243.6,1,4.42
H00939,0,0.837,0.043,76.1,3,4.69
H00940,0,0.918,0.034,11.7,1,4.77
H00941,0,0.806,0.301,24.5,0,4.44
H00942,0,0.48,0.027,78.3,1,4.37
H00943,0,0.776,0.021,103.7,1,4.74
H00944,1,0.821,0.094,185.0,2,5.0
H00945,0,0.918,0.101,217.7,3,4.97
H00946,0,0.784,0.078,110.2,4,4.6
H00947,1,0.945,0.043,149.2,0,4.6
H00948,1,0.875,0.022,36.7,1,4.69
H00949,0,0.781,0.095,48.1,2,4.51
H00950,0,0.925,0.086,47.3,0,4.75
H00951,0,0.816,0.065,79.9,1,4.28
H00952,0,0.907,0.004,67.9,3,4.54
H00953,0,0.709,0.071,188.2,3,4.99
H00954,1,0.579,0.115,73.6,1,4.83
H00955,0,0.538,0.044,117.2,1,4.83
H00956,0,0.71,0.169,138.2,2,4.94
H00957,0,0.931,0.054,99.0,2,4.57
H00958,0,0.692,0.044,170.8,0,4.3
H00959,1,0.751,0.107,141.2,4,4.7
H00960,1,0.949,0.02,42.9,1,4.77
H00961,0,0.7,0.031,145.6,4,5.0
H00962,0,0.775,0.071,47.4,2,4.48
H00963,1,0.863,0.05,73.4,3,4.59
H00964,1,0.885,0.02,131.6,1,4.95
H00965,0,0.671,0.052,171.8,6,4.88
H00966,1,0.903,0.029,16.1,3,4.29
H00967,0,0.716,0.147,202.4,1,4.94
H00968,1,0.779,0.034,337.6,4,5.0
H00969,0,0.889,0.041,2.7,1,4.53
H00970,0,0.921,0.088,107.6,1,4.94
H00971,0,0.892,0.023,7.5,5,4.82
H00972,1,0.751,0.043,210.3,4,4.44
H00973,0,0.906,0.155,41.9,0,4.33
H00974,0,0.907,0.01,68.2,3,4.76
H00975,1,0.797,0.076,61.8,2,4.93
H00976,0,0.92,0.029,74.2,5,4.57
H00977,0,0.856,0.009,92.8,2,4.36
H00978,0,0.773,0.048,19.0,4,4.11
H00979,1,0.653,0.056,404.0,4,4.69
H00980,0,0.846,0.158,67.3,5,4.47
H00981,1,0.911,0.08,19.9,2,4.45
H00982,1,0.759,0.035,184.6,0,5.0
H00983,0,0.864,0.048,109.7,0,4.84
H00984,0,0.502,0.116,230.3,2,4.82
H00985,0,0.887,0.035,106.9,2,4.64
H00986,0,0.72,0.022,57.5,2,4.78
H00987,0,0.793,0.097,64.9,3,4.73
H00988,1,0.611,0.016,183.4,3,4.57
H00989,0,0.959,0.085,186.6,3,4.65
H00990,0,0.804,0.047,173.3,0,4.96
H00991,0,0.874,0.061,152.0,2,4.74
H00992,1,0.718,0.013,305.8,2,5.0
H00993,0,0.947,0.03,92.0,4,4.97
H00994,1,0.915,0.022,25.2,0,4.63
H00995,0,0.87,0.102,59.9,3,4.71
H00996,0,0.81,0.065,43.7,4,4.66
H00997,1,0.789,0.011,187.0,1,5.0
H00998,0,0.698,0.058,23.4,0,4.36
H00999,0,0.807,0.057,24.6,4,4.62
H01000,0,0.446,0.026,109.7,7,4.83
H01001,1,0.851,0.128,275.0,0,4.79
H01002,0,0.915,0.147,207.8,3,5.0
H01003,0,0.857,0.052,120.3,6,4.55
H01004,1,0.668,0.003,215.5,0,4.26
H01005,0,0.549,0.068,68.7,0,4.78
H01006,0,0.879,0.079,306.4,4,4.7
H01007,0,0.848,0.046,23.2,1,4.77
H01008,0,0.765,0.11,38.3,4,4.56
H01009,0,0.799,0.005,161.0,2,4.81
H01010,1,0.718,0.064,166.4,3,4.59
H01011,0,0.806,0.09,279.7,4,4.82
H01012,0,0.789,0.099,56.8,2,4.62
H01013,0,0.513,0.035,222.3,4,5.0
H01014,1,0.96,0.04,111.2,0,4.21
H01015,0,0.818,0.084,32.6,2,4.21
H01016,0,0.86,0.048,23.4,1,4.82
H01017,1,0.917,0.069,72.3,1,4.28
H01018,1,0.855,0.045,83.3,2,4.69
H01019,1,0.791,0.022,19.1,1,4.53
H01020,0,0.884,0.095,143.0,2,4.99
H01021,0,0.804,0.054,159.2,3,4.66
H01022,0,0.725,0.081,70.3,3,4.52
H01023,0,0.94,0.021,85.4,2,5.0
H01024,0,0.875,0.088,211.4,2,4.81
H01025,0,0.63,0.07,145.1,0,4.37
H01026,0,0.646,0.012,148.4,3,4.17
H01027,1,0.823,0.249,105.3,2,4.98
H01028,1,0.786,0.093,106.9,1,4.73
H01029,0,0.954,0.123,113.9,4,4.87
H01030,0,0.966,0.082,34.8,3,4.94
H01031,1,0.901,0.08,78.8,2,4.8
H01032,0,0.776,0.041,117.4,3,4.73
H01033,0,0.776,0.05,162.0,0,4.62
H01034,1,0.729,0.069,148.2,3,4.76
H01035,0,0.843,0.052,124.1,3,4.57
H01036,0,0.88,0.064,89.1,1,4.98
H01037,1,0.97,0.028,159.6,2,4.83
H01038,0,0.841,0.149,159.0,0,5.0
H01039,0,0.922,0.149,84.2,5,4.73
H01040,1,0.71,0.064,84.4,3,4.67
H01041,0,0.86,0.064,14.5,2,4.63
H01042,0,0.596,0.023,352.6,2,5.0
H01043,1,0.839,0.05,134.8,3,4.35
H01044,0,0.828,0.053,181.3,1,4.19
H01045,0,0.881,0.045,240.9,3,4.6
H01046,0,0.89,0.016,15.3,3,4.62
H01047,0,0.734,0.083,80.5,0,4.93
H01048,1,0.787,0.032,72.9,1,5.0
H01049,1,0.8,0.041,76.7,1,4.62
H01050,0,0.709,0.01,35.6,1,4.55
H01051,0,0.911,0.027,239.5,2,4.05
H01052,0,0.738,0.123,110.7,0,5.0
H01053,0,0.841,0.011,108.5,1,4.81
H01054,1,0.785,0.112,161.0,0,4.98
H01055,0,0.8,0.13,14.4,1,4.93
H01056,1,0.812,0.056,97.6,3,4.2
H01057,0,0.695,0.097,184.2,1,4.53
H01058,1,0.787,0.093,271.2,2,4.65
H01059,0,0.907,0.049,130.9,4,4.61
H01060,1,0.871,0.023,170.5,1,4.86
H01061,1,0.956,0.052,167.7,3,4.32
H01062,0,0.59,0.024,91.0,4,4.55
H01063,0,0.905,0.041,122.8,1,4.65
H01064,0,0.642,0.087,66.4,3,4.42
H01065,0,0.7,0.019,203.5,1,4.89
H01066,0,0.646,0.088,40.4,1,4.72
H01067,0,0.697,0.103,48.9,3,4.95
H01068,0,0.704,0.055,42.6,1,5.0
H01069,0,0.604,0.1,69.4,2,4.61
H01070,0,0.797,0.076,56.0,1,4.86
H01071,1,0.799,0.007,84.0,2,4.18
H01072,0,0.786,0.055,103.1,3,4.28
H01073,0,0.836,0.028,179.1,2,4.73
H01074,0,0.761,0.035,100.6,2,4.57
H01075,0,0.907,0.133,76.8,2,5.0
H01076,0,0.95,0.061,65.8,2,4.81
H01077,1,0.784,0.072,220.4,0,4.29
H01078,0,0.864,0.012,112.9,3,4.73
H01079,1,0.724,0.01,192.9,1,4.54
H01080,0,0.761,0.092,19.2,3,4.98
H01081,1,0.673,0.035,57.9,1,4.6
H01082,0,0.88,0.038,183.1,0,4.57
H01083,0,0.944,0.104,47.5,3,4.4
H01084,0,0.751,0.043,189.5,2,4.36
H01085,0,0.867,0.036,30.3,0,4.45
H01086,0,0.985,0.022,41.8,3,4.89
H01087,0,0.585,0.128,75.9,2,5.0
H01088,0,0.835,0.03,48.5,0,5.0
H01089,1,0.853,0.082,48.4,1,4.77
H01090,0,0.621,0.047,217.8,4,4.46
H01091,1,0.773,0.039,46.4,2,4.34
H01092,0,0.971,0.228,144.5,3,4.71
H01093,0,0.731,0.07,168.4,4,4.4
H01094,1,0.917,0.084,64.1,2,5.0
H01095,0,0.824,0.087,45.0,2,4.84
H01096,0,0.778,0.033,64.4,0,4.65
H01097,1,0.932,0.09,282.4,1,4.71
H01098,0,0.775,0.058,264.4,1,4.65
H01099,0,0.771,0.127,215.7,5,4.92
H01100,1,0.928,0.147,298.7,2,4.73
H01101,1,0.904,0.026,148.4,3,4.49
H01102,0,0.833,0.091,69.7,5,4.74
H01103,0,0.902,0.072,180.9,4,4.59
H01104,1,0.871,0.046,232.5,1,4.55
H01105,0,0.838,0.036,60.3,2,4.57
H01106,0,0.879,0.026,246.2,1,4.61
H01107,1,0.942,0.11,82.7,3,3.93
H01108,1,0.823,0.068,45.1,2,4.79
H01109,0,0.707,0.055,54.3,1,4.82
H01110,0,0.729,0.028,86.0,2,4.39
H01111,1,0.752,0.053,147.4,2,4.26
H01112,0,0.802,0.107,93.8,1,5.0
H01113,0,0.934,0.025,143.9,2,5.0
H01114,1,0.633,0.107,368.9,0,4.63
H01115,0,0.908,0.059,13.6,0,4.93
H01116,1,0.833,0.125,126.4,0,4.61
H01117,1,0.733,0.089,106.0,1,4.7
H01118,1,0.908,0.069,74.7,3,4.55
H01119,1,0.809,0.069,8.0,2,4.84
H01120,0,0.715,0.041,67.3,4,4.73
H01121,1,0.864,0.03,174.3,2,5.0
H01122,1,0.871,0.023,133.7,2,4.57
H01123,1,0.848,0.04,190.0,0,4.76
H01124,1,0.725,0.074,96.8,3,4.85
H01125,1,0.868,0.092,10.5,3,4.77
H01126,0,0.914,0.041,47.9,1,4.74
H01127,0,0.777,0.024,25.3,2,5.0
H01128,0,0.537,0.087,229.8,3,4.39
H01129,0,0.731,0.016,14.3,2,4.8
H01130,0,0.572,0.055,143.0,3,4.47
H01131,0,0.786,0.017,376.8,2,4.43
H01132,1,0.739,0.012,11.9,1,4.56
H01133,0,0.756,0.03,52.0,2,4.74
H01134,0,0.73,0.04,138.3,5,4.77
H01135,1,0.682,0.075,43.4,1,4.59
H01136,0,0.686,0.073,26.2,2,4.85
H01137,0,0.738,0.028,49.2,0,4.87
H01138,0,0.891,0.039,78.6,5,5.0
H01139,0,0.876,0.036,81.5,2,4.55
H01140,1,0.793,0.082,108.6,4,4.46
H01141,1,0.664,0.026,219.3,1,4.68
H01142,1,0.809,0.081,44.3,3,4.3
H01143,1,0.824,0.095,216.2,2,5.0
H01144,0,0.78,0.014,396.3,1,4.57
H01145,1,0.7,0.026,115.2,1,4.45
H01146,1,0.857,0.077,193.6,2,4.67
H01147,1,0.709,0.129,227.0,2,4.67
H01148,0,0.815,0.056,214.0,3,4.71
H01149,0,0.735,0.047,43.6,2,4.77
H01150,0,0.761,0.115,246.4,0,4.41
H01151,0,0.899,0.071,9.1,1,4.74
H01152,1,0.86,0.127,115.5,2,4.58
H01153,0,0.815,0.046,74.0,3,4.54
H01154,0,0.675,0.095,217.1,1,4.88
H01155,0,0.904,0.015,83.8,2,4.25
H01156,0,0.503,0.016,259.8,3,4.83
