booking_id,guest_id,host_id,listing_id,nights,days_until_checkin_at_ticket,total_booking_value,booking_status,cancelled_by
B000917,G02683,H01291,L00005,6,27,2643.08,completed,none
B000918,G02661,H00022,L02202,3,5,478.1,completed,none
B000919,G03878,H00088,L01038,1,17,260.99,cancelled,guest
B000920,G01804,H00968,L01111,8,32,1103.17,completed,none
B000921,G00721,H01308,L02759,1,0,234.07,completed,none
B000922,G00519,H00808,L01249,6,14,583.81,cancelled,host
B000923,G02954,H00446,L01880,6,22,557.22,completed,none
B000924,G01605,H01290,L00066,3,42,400.87,completed,none
B000925,G01859,H00273,L02676,2,44,1099.18,completed,none
B000926,G01243,H00395,L00331,2,1,148.17,completed,none
B000927,G01711,H00303,L02908,4,29,1436.0,completed,none
B000928,G02006,H01277,L01810,5,9,1171.59,completed,none
B000929,G00279,H00232,L00344,6,1,671.28,cancelled,guest
B000930,G03668,H00805,L02547,4,39,731.94,completed,none
B000931,G03647,H00251,L02849,1,42,227.86,completed,none
B000932,G03315,H00120,L02490,8,42,961.63,completed,none
B000933,G03781,H00837,L00751,4,12,972.14,completed,none
B000934,G00728,H00591,L02062,3,24,801.17,completed,none
B000935,G00972,H00470,L02737,8,3,2551.98,completed,none
B000936,G01254,H00114,L00949,8,30,1080.72,completed,none
B000937,G03856,H00948,L00172,8,4,2922.46,completed,none
B000938,G00270,H00844,L01999,3,0,274.93,completed,none
B000939,G01804,H00974,L02494,7,43,2466.82,completed,none
B000940,G01909,H00370,L00733,8,32,585.97,completed,none
B000941,G03535,H00738,L01736,4,16,457.63,active,none
B000942,G03207,H01417,L01162,4,2,714.1,completed,none
B000943,G00549,H00914,L01304,2,11,552.14,completed,none
B000944,G02696,H00748,L01060,1,2,133.06,completed,none
B000945,G03445,H00030,L02449,1,40,230.7,completed,none
B000946,G01346,H00189,L00950,1,4,135.02,completed,none
B000947,G01319,H01248,L00395,7,37,1747.27,completed,none
B000948,G03898,H00441,L02433,3,42,631.75,completed,none
B000949,G01036,H00359,L02176,1,34,227.69,completed,none
B000950,G00298,H00307,L00272,5,29,977.69,completed,none
B000951,G03149,H00795,L01303,6,39,939.67,cancelled,guest
B000952,G02658,H01058,L02212,1,2,176.05,completed,none
B000953,G03485,H01097,L02595,2,7,194.45,active,none
B000954,G00115,H01344,L02204,3,41,269.42,completed,none
B000955,G00084,H00969,L02987,3,7,461.7,completed,none
B000956,G02699,H00907,L01235,1,15,148.75,cancelled,guest
B000957,G02904,H00969,L01074,1,17,139.62,completed,none
B000958,G00429,H01209,L00941,4,8,1506.23,completed,none
B000959,G02579,H01210,L02669,9,36,1603.02,cancelled,host
B000960,G02871,H00265,L01270,3,40,654.98,completed,none
B000961,G02165,H00479,L00559,1,6,196.3,active,none
B000962,G03333,H00213,L02709,3,24,495.91,completed,none
B000963,G02747,H01262,L01048,7,11,949.87,cancelled,guest
B000964,G01403,H00787,L02888,7,8,1220.28,completed,none
B000965,G00982,H01207,L01296,9,35,1982.97,completed,none
B000966,G01172,H00659,L02262,8,10,1040.79,completed,none
B000967,G02719,H00796,L02327,2,7,332.79,completed,none
B000968,G00889,H00863,L00489,1,12,206.73,completed,none
B000969,G00771,H00265,L01294,5,5,1021.11,completed,none
B000970,G02983,H00833,L01276,1,21,170.95,completed,none
B000971,G02745,H00425,L00940,1,30,142.91,completed,none
B000972,G02513,H00206,L01025,8,31,1327.34,completed,none
B000973,G01183,H00425,L01801,9,12,1399.93,completed,none
B000974,G03374,H00717,L02238,2,44,447.94,completed,none
B000975,G03049,H01178,L02316,1,40,468.62,completed,none
B000976,G03891,H01208,L01946,2,35,447.53,completed,none
B000977,G02384,H00494,L00451,1,37,114.38,active,none
B000978,G00040,H00949,L00211,5,38,1649.66,completed,none
B000979,G02779,H01331,L00239,4,8,1294.93,completed,none
B000980,G02460,H01235,L00512,9,5,1103.81,completed,none
B000981,G00842,H00918,L02858,8,15,1975.96,completed,none
B000982,G01356,H01378,L00959,8,3,674.89,active,none
B000983,G01829,H01382,L01888,6,11,1218.36,cancelled,guest
B000984,G03837,H01177,L01198,5,19,735.11,completed,none
B000985,G01621,H00183,L02154,3,-2,813.41,completed,none
B000986,G02000,H01400,L00248,1,38,604.7,completed,none
B000987,G02862,H00587,L00529,5,13,3008.25,active,none
B000988,G01904,H00821,L02815,1,15,316.0,cancelled,guest
B000989,G01033,H00849,L01753,6,19,980.59,active,none
B000990,G00707,H01249,L00271,8,37,1825.66,completed,none
B000991,G01899,H01388,L00698,1,40,196.48,completed,none
B000992,G03425,H00883,L02036,3,30,562.66,completed,none
B000993,G01439,H01293,L02090,3,15,393.83,cancelled,guest
B000994,G03941,H00281,L00801,3,21,939.24,completed,none
B000995,G02336,H00265,L01996,3,37,291.77,completed,none
B000996,G00158,H01167,L02944,7,44,488.44,cancelled,guest
B000997,G00746,H00956,L02620,6,28,1735.62,completed,none
B000998,G03332,H00258,L00933,8,30,1635.6,cancelled,host
B000999,G01637,H01095,L01543,9,3,1934.83,completed,none
B001000,G02372,H00817,L02139,2,14,294.36,completed,none
B001001,G02467,H00144,L00175,2,31,551.14,completed,none
B001002,G02824,H01336,L00632,8,44,737.33,completed,none
B001003,G03759,H01252,L02578,9,34,1819.52,completed,none
B001004,G00256,H00010,L00438,3,39,300.64,completed,none
B001005,G02577,H00509,L02520,4,17,549.7,completed,none
B001006,G03940,H00192,L00724,1,1,234.51,completed,none
B001007,G01357,H00024,L01637,8,21,2627.06,completed,none
B001008,G01297,H00778,L01938,8,8,1958.06,completed,none
B001009,G03389,H01228,L02574,8,40,2752.34,completed,none
B001010,G00785,H01252,L00342,2,19,337.73,completed,none
B001011,G01495,H00343,L02078,8,44,1174.89,completed,none
B001012,G01766,H01107,L01122,9,24,1688.25,completed,none
B001013,G02874,H00908,L00711,4,33,437.8,completed,none
B001014,G02172,H00375,L02162,5,26,653.4,active,none
B001015,G00407,H00624,L01245,7,8,2928.78,completed,none
B001016,G01584,H01054,L00169,4,28,347.73,active,none
B001017,G00077,H01130,L01970,8,-1,917.76,completed,none
B001018,G02641,H00582,L01617,5,13,400.33,completed,none
B001019,G00940,H01399,L02014,1,15,259.62,completed,none
B001020,G02197,H00836,L01054,9,9,1598.39,cancelled,guest
B001021,G03200,H01209,L00941,8,36,2760.6,completed,none
B001022,G02836,H00946,L00330,4,10,562.44,completed,none
B001023,G03802,H01242,L01944,4,27,1654.94,cancelled,guest
B001024,G03596,H00971,L00337,3,15,645.75,completed,none
B001025,G01717,H01098,L02319,7,2,1348.08,completed,none
B001026,G03892,H00695,L01905,6,27,1418.81,completed,none
B001027,G02990,H01396,L01094,2,34,620.47,completed,none
B001028,G01610,H00927,L00142,9,0,1920.77,active,none
B001029,G03305,H01079,L01360,1,-2,73.78,active,none
B001030,G03261,H01218,L02679,5,32,603.88,completed,none
B001031,G02689,H00284,L01483,5,5,887.78,active,none
B001032,G03139,H00463,L02122,3,5,875.55,completed,none
B001033,G02715,H00271,L00713,3,33,360.7,completed,none
B001034,G03741,H01436,L00121,5,8,749.9,completed,none
B001035,G02995,H00482,L00671,8,7,2306.59,active,none
B001036,G02933,H01225,L01492,3,14,629.38,completed,none
B001037,G03305,H00554,L01641,2,33,636.0,completed,none
B001038,G03240,H00317,L01755,6,38,1687.04,completed,none
B001039,G00881,H01274,L02907,9,27,2078.48,completed,none
B001040,G01643,H01098,L01084,6,10,715.45,active,none
B001041,G01903,H00870,L02354,2,7,234.57,completed,none
B001042,G01139,H00422,L00892,2,42,1066.68,completed,none
B001043,G00720,H01187,L01966,4,37,707.28,completed,none
B001044,G00992,H00563,L01231,6,0,1512.1,completed,none
B001045,G02326,H01461,L00056,8,29,1774.59,completed,none
B001046,G00178,H01026,L01272,5,15,706.38,completed,none
B001047,G00092,H01383,L01356,2,33,253.63,completed,none
B001048,G02004,H00559,L01053,7,33,847.0,completed,none
B001049,G00569,H00014,L00676,8,16,1795.79,completed,none
B001050,G03277,H00625,L02642,9,29,2185.99,completed,none
B001051,G00565,H01172,L02897,8,33,1763.25,cancelled,guest
B001052,G02473,H00846,L00517,5,1,771.26,completed,none
B001053,G02050,H00038,L01689,6,2,909.22,cancelled,host
B001054,G03813,H01209,L00156,9,42,1565.43,completed,none
B001055,G01037,H00918,L01555,3,43,577.36,completed,none
B001056,G03319,H00149,L02084,4,29,456.19,completed,none
B001057,G02918,H00063,L02267,2,4,483.57,completed,none
B001058,G01003,H00614,L00017,1,5,222.62,completed,none
B001059,G03552,H00476,L02757,7,0,1278.76,cancelled,host
B001060,G00417,H00050,L02241,6,29,572.63,completed,none
B001061,G01346,H01151,L01864,5,33,1850.7,completed,none
B001062,G02319,H00559,L01053,4,31,476.67,completed,none
B001063,G02151,H01132,L00139,4,35,596.28,completed,none
B001064,G00230,H00394,L01220,1,30,152.66,cancelled,guest
B001065,G02883,H00821,L02486,7,21,1555.29,completed,none
B001066,G02737,H01101,L01318,8,17,660.18,cancelled,guest
B001067,G01736,H00841,L01786,9,8,2235.98,active,none
B001068,G01970,H00625,L02497,9,36,2608.98,completed,none
B001069,G03719,H00573,L00263,2,-1,452.03,completed,none
B001070,G02282,H00287,L02608,8,44,1359.81,completed,none
B001071,G01794,H01022,L01456,4,-2,306.65,completed,none
B001072,G03040,H00240,L02634,6,43,916.02,completed,none
B001073,G01906,H00723,L01466,7,4,1438.17,active,none
B001074,G01640,H01034,L02398,4,11,665.86,completed,none
B001075,G01381,H00529,L01033,2,0,992.13,active,none
B001076,G00963,H01336,L01380,6,13,652.04,completed,none
B001077,G03607,H00235,L02236,2,28,449.25,completed,none
B001078,G03509,H01370,L01696,4,13,487.31,cancelled,guest
B001079,G01400,H00520,L01598,3,-1,946.38,completed,none
B001080,G03393,H00362,L00392,6,18,606.07,completed,none
B001081,G00565,H01101,L02851,7,31,911.54,active,none
B001082,G00038,H01349,L02838,7,7,640.82,completed,none
B001083,G01408,H00124,L00814,5,6,1635.86,completed,none
B001084,G03706,H01108,L01182,7,11,2927.25,active,none
B001085,G02299,H00101,L00212,3,13,728.03,completed,none
B001086,G02794,H00502,L01858,3,26,255.64,completed,none
B001087,G03027,H00317,L00522,3,16,580.03,active,none
B001088,G01176,H01441,L02988,3,19,834.28,completed,none
B001089,G01373,H00232,L00344,3,21,312.34,active,none
B001090,G00618,H01052,L02364,8,14,1930.33,completed,none
B001091,G01640,H00995,L02512,2,35,501.3,completed,none
B001092,G00036,H00411,L02774,5,6,1327.25,completed,none
B001093,G01207,H00613,L01123,8,27,1894.92,completed,none
B001094,G00505,H01147,L01964,3,24,543.04,active,none
B001095,G03337,H00381,L01725,1,34,235.52,cancelled,host
B001096,G03722,H00347,L01446,7,43,1478.44,completed,none
B001097,G01164,H01476,L00897,1,8,256.11,completed,none
B001098,G01274,H01378,L01226,7,3,734.43,completed,none
B001099,G00972,H00513,L00075,9,19,1077.91,completed,none
B001100,G02148,H00795,L01667,7,23,1895.78,completed,none
B001101,G03298,H00101,L00532,9,12,1268.44,completed,none
B001102,G03791,H01127,L02341,7,37,2123.19,completed,none
B001103,G02082,H00817,L00674,8,12,1164.73,completed,none
B001104,G00816,H00623,L02171,7,41,723.86,cancelled,host
B001105,G01913,H00779,L01881,5,7,1242.53,cancelled,host
B001106,G00181,H00360,L02573,5,3,493.83,active,none
B001107,G01273,H01345,L02869,9,35,1083.88,completed,none
B001108,G02482,H00065,L00296,8,23,1135.89,completed,none
B001109,G00878,H01426,L01120,7,14,2190.46,completed,none
B001110,G01293,H01304,L01228,2,2,113.65,completed,none
B001111,G02752,H01140,L01560,6,40,311.9,completed,none
B001112,G00899,H00664,L01275,6,-1,752.89,completed,none
B001113,G02167,H00108,L00881,8,23,436.02,completed,none
B001114,G00246,H00997,L02648,3,14,576.77,completed,none
B001115,G01253,H00069,L00063,9,38,1281.88,completed,none
B001116,G02240,H00145,L01163,2,12,329.65,active,none
B001117,G01822,H00097,L00030,6,23,658.8,cancelled,guest
B001118,G03392,H00433,L02635,5,38,797.41,active,none
B001119,G00477,H00805,L02547,6,21,1125.11,completed,none
B001120,G02593,H00585,L00158,1,36,77.78,active,none
B001121,G02488,H01013,L02690,7,24,1260.47,completed,none
B001122,G03080,H00281,L00801,7,35,2150.62,completed,none
B001123,G02188,H01441,L01529,2,10,661.54,completed,none
B001124,G03948,H01004,L00218,9,5,1123.82,completed,none
B001125,G00267,H01104,L01428,6,9,1239.95,completed,none
B001126,G03183,H01337,L01044,1,26,135.54,completed,none
B001127,G00712,H01062,L00768,5,16,2446.58,active,none
B001128,G02205,H01180,L01820,7,37,1834.07,completed,none
B001129,G00434,H00578,L00462,8,2,2284.08,completed,none
B001130,G02647,H00312,L00196,4,33,800.37,completed,none
B001131,G03000,H00420,L00726,9,19,1215.47,active,none
B001132,G02300,H01217,L01203,5,30,547.65,cancelled,guest
B001133,G03449,H00922,L01645,3,30,423.6,active,none
B001134,G02238,H00075,L02305,1,6,174.07,completed,none
B001135,G00527,H01447,L00067,9,27,667.6,completed,none
B001136,G03075,H00117,L02617,3,7,425.51,cancelled,guest
B001137,G00605,H01184,L01153,3,22,628.9,cancelled,host
B001138,G00275,H00033,L00219,7,18,805.62,completed,none
B001139,G01789,H00275,L00578,3,20,498.94,completed,none
B001140,G01262,H00462,L02269,6,31,2104.55,completed,none
B001141,G00601,H00929,L00422,5,16,2047.09,completed,none
B001142,G02528,H00969,L01530,9,7,2030.72,completed,none
B001143,G01806,H00697,L01992,8,3,2334.06,completed,none
B001144,G00487,H00229,L02451,2,43,178.14,completed,none
B001145,G01806,H00674,L01447,2,18,191.97,completed,none
B001146,G01573,H00128,L00720,1,28,250.07,completed,none
B001147,G00675,H00065,L00296,1,24,146.24,completed,none
B001148,G01104,H01227,L00915,1,19,252.55,completed,none
B001149,G01074,H01374,L00845,6,14,2528.94,completed,none
B001150,G03926,H01379,L00653,7,2,1316.98,completed,none
B001151,G00225,H00558,L00316,9,16,1830.99,completed,none
B001152,G02968,H00950,L00554,1,18,157.55,cancelled,guest
B001153,G01634,H00352,L01401,4,-2,801.87,cancelled,host
B001154,G01125,H00137,L02879,7,12,1444.27,completed,none
B001155,G00132,H01130,L02953,7,8,1542.09,completed,none
B001156,G02122,H00581,L02701,3,20,392.73,completed,none
B001157,G00973,H00840,L02939,5,43,633.88,completed,none
B001158,G03330,H00559,L01143,8,36,1349.02,completed,none
B001159,G01587,H01416,L00200,5,24,982.03,completed,none
B001160,G00727,H01000,L02720,2,14,531.88,completed,none
B001161,G03360,H00929,L02592,8,17,1669.29,completed,none
B001162,G03162,H01427,L00655,2,32,255.58,completed,none
B001163,G03352,H00308,L00454,2,44,286.34,completed,none
B001164,G01427,H00551,L01835,6,13,986.27,completed,none
B001165,G00675,H01147,L00861,9,10,1827.13,completed,none
B001166,G03210,H01182,L00059,5,9,1068.1,cancelled,guest
B001167,G01969,H01240,L02491,2,10,558.79,active,none
B001168,G03060,H01432,L00921,7,16,862.09,active,none
B001169,G00295,H00837,L00751,7,36,1966.51,completed,none
B001170,G03660,H01373,L01190,5,44,1892.26,completed,none
B001171,G03984,H00892,L02355,5,39,830.84,completed,none
B001172,G00754,H00109,L00954,6,40,1090.94,completed,none
B001173,G00879,H00564,L01241,5,28,1006.29,completed,none
B001174,G00957,H00929,L00422,9,40,4286.48,completed,none
B001175,G00294,H00024,L01637,5,26,1629.07,cancelled,guest
B001176,G02309,H01121,L00977,8,2,1399.79,completed,none
B001177,G00056,H00422,L00283,4,24,535.54,completed,none
B001178,G01801,H00806,L01960,9,38,1993.66,completed,none
B001179,G03053,H00238,L00551,6,7,960.35,completed,none
B001180,G03672,H01336,L00252,3,39,915.18,completed,none
B001181,G01924,H00123,L01684,8,27,2032.04,completed,none
B001182,G03771,H00319,L02610,8,20,1278.39,completed,none
B001183,G01542,H00203,L02107,1,36,217.89,completed,none
B001184,G01966,H00432,L01099,8,39,2352.64,completed,none
B001185,G03090,H00904,L02244,3,28,709.82,completed,none
B001186,G00643,H00504,L02626,5,23,1618.7,cancelled,host
B001187,G00841,H00004,L01473,1,7,83.72,completed,none
B001188,G02556,H00878,L00778,5,43,1117.14,completed,none
B001189,G02219,H01110,L01825,2,0,374.15,completed,none
B001190,G00367,H00347,L02708,6,5,911.93,cancelled,guest
B001191,G03857,H01033,L02434,6,-2,1526.7,completed,none
B001192,G03502,H00505,L01717,2,5,190.14,active,none
B001193,G01368,H00985,L02857,4,30,724.78,completed,none
B001194,G02013,H01118,L00854,7,20,1832.26,completed,none
B001195,G02459,H01262,L00305,8,3,1127.9,completed,none
B001196,G02328,H00565,L00185,9,14,1249.91,completed,none
B001197,G02653,H00408,L01568,1,30,204.2,completed,none
B001198,G00130,H00487,L02435,7,12,2548.29,completed,none
B001199,G01736,H00284,L00197,7,29,436.13,completed,none
B001200,G01778,H00309,L02928,4,3,1795.68,completed,none
B001201,G01768,H00209,L01493,9,14,924.14,completed,none
B001202,G02507,H01186,L00968,3,25,703.98,completed,none
B001203,G00391,H00482,L00671,9,36,2718.64,cancelled,guest
B001204,G00517,H01062,L00768,6,0,2944.24,completed,none
B001205,G03910,H00276,L00247,4,30,370.19,completed,none
B001206,G01862,H01219,L00101,8,23,1278.44,completed,none
B001207,G00549,H00112,L01450,2,18,815.25,cancelled,host
B001208,G00697,H00146,L02233,8,21,1324.18,completed,none
B001209,G02632,H00310,L02275,1,27,179.81,completed,none
B001210,G02552,H00034,L00772,3,41,558.8,completed,none
B001211,G00256,H00642,L00930,3,44,941.52,completed,none
B001212,G02643,H00980,L01014,8,24,1590.65,cancelled,guest
B001213,G01615,H00235,L01975,7,1,1291.88,completed,none
B001214,G02993,H00459,L00237,1,41,124.48,completed,none
B001215,G01753,H01213,L01939,3,15,353.9,completed,none
B001216,G03244,H00417,L02717,2,32,526.39,completed,none
B001217,G00587,H01416,L01152,6,24,1945.26,completed,none
B001218,G03475,H00721,L02286,8,4,1282.52,completed,none
B001219,G00303,H00550,L02482,1,21,261.91,completed,none
B001220,G03902,H00301,L01853,7,11,935.79,cancelled,host
B001221,G01020,H00699,L02147,7,42,1346.53,completed,none
B001222,G02613,H00114,L00949,7,40,909.85,completed,none
B001223,G00861,H00909,L02041,3,38,897.56,cancelled,host
B001224,G02454,H00925,L02609,2,25,171.58,completed,none
B001225,G03044,H00007,L02873,1,21,249.11,completed,none
B001226,G01437,H00011,L01422,2,42,271.39,completed,none
B001227,G01661,H00136,L00577,4,4,559.42,completed,none
B001228,G00889,H00123,L00264,4,36,796.71,completed,none
B001229,G01368,H01138,L02079,9,29,754.44,completed,none
B001230,G00575,H00764,L02820,6,40,1772.23,completed,none
B001231,G01532,H00848,L00162,8,7,2135.94,completed,none
B001232,G01134,H01170,L00558,3,44,601.15,completed,none
B001233,G02744,H01197,L01671,6,10,1786.92,completed,none
B001234,G00867,H00035,L01986,2,19,228.83,active,none
B001235,G00411,H00882,L02683,8,36,656.3,completed,none
B001236,G00528,H00846,L02754,1,40,147.34,completed,none
B001237,G03696,H01071,L01346,3,31,491.95,completed,none
B001238,G00717,H00259,L00352,6,35,665.39,completed,none
B001239,G01787,H01333,L02834,6,36,1099.1,completed,none
B001240,G03184,H00218,L02223,7,34,2368.15,cancelled,guest
B001241,G01916,H00052,L02909,3,21,906.75,completed,none
B001242,G01378,H00581,L01194,8,33,1500.38,completed,none
B001243,G00826,H00146,L02233,7,36,1358.82,completed,none
B001244,G01297,H00504,L02947,6,11,1971.19,cancelled,host
B001245,G03720,H00502,L01858,8,0,698.82,cancelled,host
B001246,G00948,H00398,L01628,5,-1,983.44,completed,none
B001247,G03432,H00408,L00021,6,43,2377.29,completed,none
B001248,G03097,H01152,L02007,6,28,1851.83,completed,none
B001249,G03940,H00388,L01129,3,43,294.28,completed,none
B001250,G01502,H00062,L02801,2,6,412.89,completed,none
B001251,G03931,H00253,L01009,7,5,1112.53,completed,none
B001252,G00271,H00634,L00254,6,33,1585.01,completed,none
B001253,G02411,H00339,L02059,2,11,603.18,completed,none
B001254,G00559,H00645,L00319,4,37,698.84,completed,none
B001255,G00877,H00884,L02556,3,39,791.52,completed,none
B001256,G01878,H01457,L01507,3,12,322.39,completed,none
B001257,G00642,H00480,L01036,8,4,3269.55,completed,none
B001258,G01508,H00021,L00776,2,29,961.09,completed,none
B001259,G01899,H00777,L00413,7,-2,1514.72,completed,none
B001260,G03768,H00588,L00990,2,33,405.34,completed,none
B001261,G02327,H01114,L02218,7,1,897.3,completed,none
B001262,G02052,H00039,L00267,9,37,2008.67,completed,none
B001263,G02411,H00028,L02134,9,5,2649.49,cancelled,guest
B001264,G02625,H01461,L00056,4,44,932.72,completed,none
B001265,G03390,H00653,L02990,5,16,969.79,completed,none
B001266,G03495,H01155,L00250,8,17,3189.33,completed,none
B001267,G03485,H00345,L02959,7,10,1285.24,completed,none
B001268,G03354,H00631,L02105,4,36,965.59,cancelled,host
B001269,G03814,H00713,L02189,2,11,179.67,completed,none
B001270,G02440,H00745,L01413,2,1,411.6,completed,none
B001271,G02600,H00792,L01479,6,37,786.95,completed,none
B001272,G03740,H00858,L01875,9,1,1838.68,completed,none
B001273,G01636,H01081,L02311,2,23,149.57,cancelled,host
B001274,G03768,H00490,L01669,5,25,1025.78,completed,none
B001275,G02638,H01293,L01640,3,42,342.62,completed,none
B001276,G03445,H00436,L00435,4,14,598.42,cancelled,guest
B001277,G01470,H01185,L01908,2,38,614.99,completed,none
B001278,G01437,H01180,L01820,6,33,1960.8,completed,none
B001279,G00239,H01002,L00148,2,6,271.49,completed,none
B001280,G01046,H00925,L01985,3,37,239.09,completed,none
B001281,G00875,H00684,L01619,9,16,2087.05,cancelled,host
B001282,G00689,H01367,L02622,6,14,1050.64,cancelled,guest
B001283,G02452,H01395,L01408,6,5,2099.28,completed,none
B001284,G02229,H01228,L00670,1,29,122.78,completed,none
B001285,G02478,H00349,L02438,5,7,1073.72,completed,none
B001286,G01618,H00351,L00486,7,-2,1391.92,completed,none
B001287,G01869,H01095,L00633,5,29,683.43,cancelled,guest
B001288,G02305,H00334,L00718,9,43,1209.84,completed,none
B001289,G03261,H01259,L02896,9,38,1196.47,completed,none
B001290,G02169,H00579,L02017,2,9,217.36,completed,none
B001291,G02762,H00409,L02846,8,23,1928.81,completed,none
B001292,G03935,H00687,L00904,9,21,1245.31,completed,none
B001293,G02940,H01451,L01499,4,29,1330.57,completed,none
B001294,G01848,H00731,L02481,2,17,336.76,completed,none
B001295,G02223,H01140,L00160,9,24,1466.45,completed,none
B001296,G03208,H00122,L01922,4,1,699.98,completed,none
B001297,G00541,H00535,L02291,2,34,1570.21,completed,none
B001298,G03169,H01253,L01154,4,27,1308.72,completed,none
B001299,G01697,H00074,L02533,6,11,1797.14,cancelled,guest
B001300,G01697,H00402,L01536,5,7,1134.07,completed,none
B001301,G01894,H00170,L01156,6,43,936.71,completed,none
B001302,G02625,H00054,L01264,8,5,1202.96,completed,none
B001303,G00970,H01170,L00558,9,7,1546.49,completed,none
B001304,G01742,H01385,L01542,8,30,1837.11,completed,none
B001305,G02085,H00004,L01473,8,30,771.44,cancelled,host
B001306,G01460,H01112,L02618,6,21,920.65,completed,none
B001307,G02806,H00646,L01649,1,3,189.48,cancelled,guest
B001308,G00696,H01149,L02816,3,5,485.17,completed,none
B001309,G00344,H00877,L01857,5,38,665.51,completed,none
B001310,G01786,H00712,L01437,1,18,155.13,completed,none
B001311,G02787,H01400,L00248,1,36,630.78,active,none
B001312,G03607,H00230,L02200,7,23,1083.66,completed,none
B001313,G00014,H01139,L01232,2,5,325.41,completed,none
B001314,G03391,H01009,L00420,5,13,738.98,completed,none
B001315,G03022,H00192,L01412,4,5,483.76,completed,none
B001316,G02013,H00183,L02052,8,-1,1037.02,cancelled,guest
B001317,G01885,H00862,L00678,1,-1,188.7,completed,none
B001318,G00048,H00134,L00086,9,9,2386.08,completed,none
B001319,G00751,H00871,L02362,9,35,2766.03,completed,none
B001320,G00706,H00238,L00551,4,21,580.08,active,none
B001321,G00641,H00655,L00656,2,5,202.95,completed,none
B001322,G01496,H00742,L01917,7,22,711.73,completed,none
B001323,G01798,H00424,L02613,5,37,843.92,completed,none
B001324,G00675,H00974,L02494,2,39,646.21,completed,none
B001325,G02162,H00444,L02476,6,37,1356.56,completed,none
B001326,G01754,H01475,L00886,8,1,1132.56,completed,none
B001327,G03718,H00798,L00666,6,33,1426.37,cancelled,guest
B001328,G02632,H01339,L01958,7,19,1379.06,completed,none
B001329,G03193,H00849,L02552,9,28,3032.12,completed,none
B001330,G02372,H01279,L00321,3,39,1442.72,completed,none
B001331,G00367,H00235,L02236,9,43,1858.83,completed,none
B001332,G01885,H00478,L00617,4,43,691.15,completed,none
B001333,G00118,H00218,L00298,7,27,1255.8,completed,none
B001334,G00848,H00356,L02790,3,15,763.93,completed,none
B001335,G01640,H00841,L01786,5,28,1440.42,active,none
B001336,G02011,H00120,L00380,5,30,1014.19,active,none
B001337,G02377,H01031,L00449,8,38,1958.27,completed,none
B001338,G03330,H00531,L02288,5,18,327.06,completed,none
B001339,G01206,H00262,L00222,7,18,1581.36,cancelled,host
B001340,G03125,H00460,L01681,4,9,666.9,active,none
B001341,G01482,H01103,L00859,6,0,1087.13,active,none
B001342,G02776,H00968,L01953,4,7,892.6,completed,none
B001343,G02631,H00837,L00751,5,5,1251.2,completed,none
B001344,G03995,H00939,L00662,7,14,1451.55,completed,none
B001345,G02926,H00554,L02144,6,44,964.25,completed,none
B001346,G00183,H01185,L00650,4,40,1084.1,completed,none
B001347,G01292,H00098,L00161,6,27,831.14,active,none
B001348,G01663,H00068,L01475,5,36,653.04,completed,none
B001349,G01109,H00375,L01078,1,0,202.83,completed,none
B001350,G00004,H00493,L01595,7,11,1230.5,completed,none
B001351,G02165,H00170,L01042,8,13,1882.33,completed,none
B001352,G01376,H00670,L01563,3,15,619.41,completed,none
B001353,G02537,H01185,L01908,5,2,1501.1,completed,none
B001354,G02593,H00367,L00884,2,9,403.97,active,none
B001355,G03829,H00236,L00782,1,35,97.38,cancelled,host
B001356,G01988,H00804,L00849,1,12,132.96,completed,none
B001357,G00991,H00529,L01033,6,31,3067.94,completed,none
B001358,G02636,H00187,L02699,8,9,1817.1,completed,none
B001359,G03296,H00900,L02791,1,33,134.4,completed,none
B001360,G03205,H01385,L01324,9,12,2362.6,active,none
B001361,G03068,H01452,L01698,8,35,807.93,completed,none
B001362,G03691,H00502,L01858,3,37,255.24,active,none
B001363,G00129,H00874,L00657,6,0,755.38,completed,none
B001364,G01843,H00317,L00522,5,40,953.74,completed,none
B001365,G00142,H00228,L00419,6,27,984.95,completed,none
B001366,G01256,H00738,L00553,7,34,4682.08,completed,none
B001367,G01189,H00601,L02370,6,10,1830.41,completed,none
B001368,G03426,H01360,L01159,3,40,949.36,completed,none
B001369,G02984,H00592,L02768,1,1,972.37,active,none
B001370,G03648,H00088,L01038,8,19,1849.62,completed,none
B001371,G03826,H00419,L01616,4,40,476.81,completed,none
B001372,G00420,H00319,L00642,7,-1,1546.35,cancelled,host
B001373,G01730,H00611,L00695,5,6,1537.47,completed,none
B001374,G01317,H00215,L00619,5,33,467.96,completed,none
B001375,G00740,H00308,L00603,3,34,782.21,completed,none
B001376,G00521,H00661,L01377,6,29,1317.42,completed,none
B001377,G03051,H01410,L02663,6,35,3381.23,completed,none
B001378,G01889,H01206,L02111,8,20,2062.93,completed,none
B001379,G03639,H01447,L00067,4,15,354.72,completed,none
B001380,G00097,H00162,L00530,6,35,1034.36,cancelled,guest
B001381,G03385,H00133,L00014,6,0,516.56,completed,none
B001382,G03337,H00120,L01624,2,36,485.92,cancelled,guest
B001383,G01073,H00903,L01309,2,25,463.56,completed,none
B001384,G02687,H00701,L01954,1,15,125.11,completed,none
B001385,G01365,H00802,L01582,1,26,84.79,completed,none
